GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onlinebookstore,com.bittercode.util,DatabaseConfig,6,55,0,0,3,12,1,1,1,1
onlinebookstore,com.bittercode.util,DBUtil,11,14,1,1,4,6,2,2,1,2
onlinebookstore,com.bittercode.util,StoreUtil,209,0,18,0,33,0,13,0,4,0
onlinebookstore,com.bittercode.model,UserRole,0,15,0,0,0,2,0,1,0,1
onlinebookstore,com.bittercode.model,Cart,0,23,0,0,0,10,0,5,0,5
onlinebookstore,com.bittercode.model,Book,0,56,0,0,0,24,0,12,0,12
onlinebookstore,com.bittercode.model,Address,0,52,0,0,0,22,0,15,0,15
onlinebookstore,com.bittercode.model,StoreException,0,77,0,0,0,29,0,10,0,10
onlinebookstore,com.bittercode.model,User,7,45,0,0,3,19,2,13,2,13
onlinebookstore,com.bittercode.service.impl,UserServiceImpl,21,169,6,8,7,43,5,7,0,5
onlinebookstore,com.bittercode.service.impl,BookServiceImpl,176,201,5,5,46,59,6,7,2,6
onlinebookstore,com.bittercode.constant,ResponseCode,15,84,2,0,3,15,3,4,2,4
onlinebookstore,servlets,StoreBookServlet,124,0,8,0,33,0,7,0,3,0
onlinebookstore,servlets,CartServlet,229,0,14,0,51,0,10,0,3,0
onlinebookstore,servlets,ProcessPaymentServlet,172,0,6,0,42,0,6,0,3,0
onlinebookstore,servlets,AddBookServlet,116,0,8,0,35,0,7,0,3,0
onlinebookstore,servlets,RemoveBookServlet,98,0,8,0,32,0,7,0,3,0
onlinebookstore,servlets,CheckoutServlet,63,0,2,0,19,0,3,0,2,0
onlinebookstore,servlets,ReceiptServlet,239,0,8,0,51,0,6,0,2,0
onlinebookstore,servlets,CustomerLoginServlet,71,0,2,0,20,0,3,0,2,0
onlinebookstore,servlets,CustomerRegisterServlet,116,0,2,0,32,0,3,0,2,0
onlinebookstore,servlets,UpdateBookServlet,156,0,8,0,42,0,7,0,3,0
onlinebookstore,servlets,ViewBookServlet,205,0,12,0,43,0,9,0,3,0
onlinebookstore,servlets,SellerLoginServlet,71,0,2,0,20,0,3,0,2,0
onlinebookstore,servlets,BuyBooksServlet,199,0,4,0,39,0,4,0,2,0
onlinebookstore,servlets,LogoutServlet,38,0,2,0,13,0,3,0,2,0
onlinebookstore,servlets,AboutServlet,61,0,4,0,18,0,4,0,2,0
onlinebookstore,servlets,ErrorHandlerServlet,213,0,14,0,47,0,10,0,3,0
